Reaction ID;dG0
EX_mg2_e;NaN
EX_mincyc_e;NaN
EX_minohp_e;NaN
EX_mmet_e;NaN
EX_mn2_e;NaN
EX_mnl_e;NaN
EX_mobd_e;NaN
EX_mso3_e;NaN
EX_n2o_e;NaN
EX_na1_e;NaN
EX_nac_e;NaN
EX_nh4_e;NaN
EX_ni2_e;NaN
EX_nmn_e;NaN
EX_no_e;NaN
EX_no2_e;NaN
EX_no3_e;NaN
EX_novbcn_e;NaN
EX_o16a4colipa_e;NaN
EX_o2_e;NaN
EX_o2s_e;NaN
EX_ocdca_e;NaN
EX_ocdcea_e;NaN
EX_octa_e;NaN
EX_orn_e;NaN
EX_orot_e;NaN
EX_pacald_e;NaN
EX_peamn_e;NaN
EX_phe__L_e;NaN
EX_pheme_e;NaN
EX_pi_e;NaN
EX_pnto__R_e;NaN
EX_ppa_e;NaN
EX_ppal_e;NaN
EX_pppn_e;NaN
EX_ppt_e;NaN
EX_pro__L_e;NaN
EX_progly_e;NaN
EX_psclys_e;NaN
EX_pser__L_e;NaN
EX_ptrc_e;NaN
EX_pydam_e;NaN
EX_pydx_e;NaN
EX_pydxn_e;NaN
EX_pyr_e;NaN
EX_quin_e;NaN
EX_r5p_e;NaN
EX_rfamp_e;NaN
EX_rib__D_e;NaN
EX_rmn_e;NaN
EX_sbt__D_e;NaN
EX_sel_e;NaN
EX_ser__D_e;NaN
EX_ser__L_e;NaN
EX_skm_e;NaN
EX_slnt_e;NaN
EX_so2_e;NaN
EX_so3_e;NaN
EX_so4_e;NaN
EX_spmd_e;NaN
EX_succ_e;NaN
EX_sucr_e;NaN
EX_sulfac_e;NaN
EX_tartr__D_e;NaN
EX_tartr__L_e;NaN
EX_taur_e;NaN
EX_tcynt_e;NaN
EX_thm_e;NaN
EX_thr__L_e;NaN
EX_thrp_e;NaN
EX_thym_e;NaN
EX_thymd_e;NaN
EX_tma_e;NaN
EX_tmao_e;NaN
EX_tre_e;NaN
EX_trp__L_e;NaN
EX_tsul_e;NaN
EX_ttdca_e;NaN
EX_ttdcea_e;NaN
EX_ttrcyc_e;NaN
EX_tungs_e;NaN
EX_tym_e;NaN
EX_tyr__L_e;NaN
EX_tyrp_e;NaN
EX_uacgam_e;NaN
EX_udpacgal_e;NaN
EX_udpg_e;NaN
EX_udpgal_e;NaN
EX_udpglcur_e;NaN
EX_ump_e;NaN
EX_ura_e;NaN
EX_urea_e;NaN
EX_uri_e;NaN
EX_val__L_e;NaN
EX_xan_e;NaN
EX_xmp_e;NaN
EX_xtsn_e;NaN
EX_xyl__D_e;NaN
EX_xylu__L_e;NaN
EX_zn2_e;NaN
12DGR120tipp;NaN
12DGR140tipp;NaN
12DGR141tipp;NaN
12DGR160tipp;NaN
12DGR161tipp;NaN
12DGR180tipp;NaN
12DGR181tipp;NaN
12PPDRtex;NaN
12PPDRtpp;NaN
12PPDStex;NaN
12PPDStpp;NaN
14GLUCANabcpp;NaN
14GLUCANtexi;NaN
23CAMPtex;NaN
23CCMPtex;NaN
23CGMPtex;NaN
23CUMPtex;NaN
23DAPPAt2pp;NaN
23DAPPAtex;NaN
23PDE2pp;-34.3183
23PDE4pp;-33.9921
23PDE7pp;-33.9996
23PDE9pp;-33.9736
26DAHtex;NaN
2AGPA120tipp;NaN
2AGPA140tipp;NaN
2AGPA141tipp;NaN
2AGPA160tipp;NaN
2AGPA161tipp;NaN
2AGPA180tipp;NaN
2AGPA181tipp;NaN
2AGPE120tipp;NaN
2AGPE140tipp;NaN
2AGPE141tipp;NaN
2AGPE160tipp;NaN
2AGPE161tipp;NaN
2AGPE180tipp;NaN
2AGPE181tipp;NaN
2AGPEAT120;NaN
2AGPEAT140;NaN
2AGPEAT141;NaN
2AGPEAT160;NaN
2AGPEAT161;NaN
2AGPEAT180;NaN
2AGPEAT181;NaN
2AGPG120tipp;NaN
2AGPG140tipp;NaN
2AGPG141tipp;NaN
2AGPG160tipp;NaN
2AGPG161tipp;NaN
2AGPG180tipp;NaN
2AGPG181tipp;NaN
2AGPGAT120;NaN
2AGPGAT140;NaN
2AGPGAT141;NaN
2AGPGAT160;NaN
2AGPGAT161;NaN
2AGPGAT180;NaN
2AGPGAT181;NaN
2DGULRGx;NaN
2DGULRGy;NaN
2DGULRx;NaN
2DGULRy;NaN
2MAHMP;-22.3419
34dhpactex;NaN
3AMACHYD;NaN
3AMPtex;NaN
3CMPtex;NaN
3GMPtex;NaN
3HAD100;NaN
3HAD120;NaN
3HAD121;NaN
3HAD140;NaN
3HAD141;NaN
3HAD160;NaN
3HAD161;NaN
3HAD180;NaN
3HAD181;NaN
3HAD40;NaN
3HAD60;NaN
3HAD80;NaN
3HCINNMH;-441.3242
3HPPPNH;-441.3381
3HPPtex;NaN
3HPPtpp;NaN
3KGK;-14.6708
3NTD2pp;-13.38
3NTD4pp;-21.267
3NTD7pp;-15.5127
3NTD9pp;-11.8477
3OAR100;NaN
3OAR120;NaN
3OAR121;NaN
3OAR140;NaN
3OAR141;NaN
3OAR160;NaN
3OAR161;NaN
3OAR180;NaN
3OAR181;NaN
3OAR40;NaN
3OAR60;NaN
3OAR80;NaN
3OAS100;NaN
3OAS120;NaN
3OAS121;NaN
3OAS140;NaN
3OAS141;NaN
3OAS160;NaN
3OAS161;NaN
3OAS180;NaN
3OAS181;NaN
3OAS60;NaN
3OAS80;NaN
3OXCOAT;-29.7484
3PEPTabcpp;NaN
3PEPTtex;NaN
3UMPtex;NaN
42A12BOOXpp;-94.5024
4HOXPACDtex;NaN
4HTHRS;-13.9863
4PCP;NaN
4PCPpp;NaN
4PEPTabcpp;NaN
4PEPTtex;NaN
5DGLCNR;-26.3584
5DGLCNt2rpp;NaN
5DGLCNtex;NaN
5DOAN;NaN
5MTRtex;NaN
5MTRtpp;NaN
A5PISO;-2.6226
AACPS1;NaN
AACPS2;NaN
AACPS3;NaN
AACPS4;NaN
AACPS5;NaN
AACPS6;NaN
AACPS7;NaN
AACPS8;NaN
AACPS9;NaN
AACTOOR;-96.8299
AADDGT;NaN
AAMYL;NaN
AAMYLpp;NaN
AB6PGH;33.6658
ABTA;6.1017
ABUTD;-47.6283
ABUTt2pp;NaN
ABUTtex;NaN
ACACCT;5.7197
ACACT1r;26.131
ACACT2r;35.2648
ACACT3r;NaN
ACACT4r;32.7
ACACT5r;NaN
ACACT6r;32.7
ACACT7r;32.7
